1;1;5;0;0;0;2;1;1;1;0;0;0;0;0;0;5;5;305600;0;400;0;306000;1;7;1;2;10;5;456000;.;442;4;1;3;4;1;1;52;200000;2;2;1;5;7;1;52;37000
1;2;8;1;0;0;1;0;2;3;1;0;0;0;0;0;4;5;205105;85306;767;0;291178;1;5;1;2;9;5;374000;.;550;5;1;3;2;2;1;52;42367;2;2;3;2;9;1;.;42000
1;3;4;0;0;0;2;0;1;1;0;0;0;0;0;0;3;4;182302;81698;10200;0;274200;1;2;1;1;10;4;430000;.;2218;4;1;1;7;2;1;52;200000;1;2;1;2;.;13;.;45000
1;4;4;0;1;1;0;0;1;1;0;0;0;0;0;0;2;2;247815;1385;800;0;250000;1;7;1;1;10;5;420000;.;2218;4;1;3;7;3;1;52;200000;2;2;3;7;7;1;52;50000
1;5;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;185015;39215;0;0;224230;1;5;1;2;10;5;417000;.;708;5;1;1;7;3;1;49;200000;.;.;.;.;.;.;.;.
1;6;6;0;0;0;1;1;3;1;0;0;0;0;0;0;5;5;197500;22000;4808;0;224308;1;4;1;1;10;4;372000;.;2218;4;1;1;7;2;1;52;80300;1;2;1;7;2;1;52;11000
1;7;5;2;0;0;0;0;1;2;0;0;0;0;0;0;3;3;196942;17706;800;0;215448;1;2;1;1;10;5;390000;.;2218;3;1;1;7;2;1;52;82448;1;2;1;7;3;1;52;120000
1;8;5;0;2;1;0;0;1;1;0;0;0;0;0;0;3;3;177950;35350;1200;0;214500;1;5;1;2;10;4;440000;.;310;4;1;1;7;1;1;52;200000;2;2;1;4;7;1;48;13300
2;1;3;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;199600;0;400;0;200000;1;7;1;1;10;5;453000;.;2218;3;1;3;7;8;1;45;200000;1;2;3;3;.;13;.;0
2;2;5;0;3;0;0;0;1;1;0;0;0;0;0;0;3;3;191990;1132;1200;0;194322;1;1;1;1;9;4;444000;.;2218;3;1;1;6;3;1;52;189504;1;2;1;3;10;1;4;2118
2;3;4;0;1;1;0;0;1;1;0;0;0;0;0;0;2;2;174055;1024;800;0;175879;4;5;1;1;9;3;445000;.;2218;3;1;1;7;2;1;52;133853;1;2;1;5;10;1;52;42026
2;4;3;0;0;0;0;0;2;1;0;0;0;0;0;0;3;3;167000;8000;0;0;175000;1;7;1;2;7;4;383000;.;363;5;1;1;2;2;1;52;114000;1;2;1;2;2;1;52;37000
2;5;4;0;0;1;1;0;1;1;0;0;0;0;0;0;3;3;171141;117;800;1000;173058;1;1;1;1;10;4;404000;.;2218;4;1;1;7;3;1;52;167800;1;2;1;7;.;13;.;0
2;6;4;0;0;0;1;1;1;1;0;0;0;0;0;0;4;4;143950;19356;367;0;163673;1;5;1;2;10;4;431000;.;419;4;1;3;3;1;1;52;108885;2;2;3;3;11;11;40;42044
2;7;4;0;0;0;1;1;1;1;0;0;0;0;0;0;3;4;160100;1025;1300;0;162425;1;6;1;1;10;3;394000;.;2218;4;1;1;5;4;1;52;150500;2;2;1;7;.;13;.;500
2;8;8;2;0;2;0;0;3;3;0;0;0;0;0;0;5;5;158622;1550;12003;1602;173777;6;6;1;1;8;5;290000;.;1324;3;1;3;2;14;1;52;64940;1;2;3;2;13;1;52;10223
3;1;3;0;0;0;0;0;2;1;0;0;0;0;0;0;3;3;156667;0;0;0;156667;1;2;1;2;7;3;390000;.;408;4;1;3;6;8;1;52;70757;1;2;3;3;8;1;52;70757
3;2;5;0;0;1;0;0;2;2;0;0;0;0;0;0;4;4;149600;750;400;0;150750;1;6;1;1;8;3;230000;.;1153;3;1;1;4;3;1;52;58685;1;2;1;6;10;1;52;39350
3;3;5;2;0;0;0;0;1;2;0;0;0;0;0;0;2;3;93000;55000;433;0;148433;1;3;1;2;10;5;388000;.;542;3;1;1;7;2;1;52;85433;1;2;1;7;3;1;26;50000
3;4;3;0;0;0;0;0;0;1;1;1;0;0;0;0;3;3;92635;55107;592;3440;151774;1;3;1;2;7;3;280000;.;327;5;1;3;7;2;1;52;63322;1;2;1;5;4;1;52;76506
3;5;5;0;0;0;0;0;3;2;0;0;0;0;0;0;5;5;122642;24973;7000;600;155215;1;2;2;.;7;3;.;1913;.;2;1;1;7;3;1;16;9215;.;.;.;.;.;.;.;.
3;6;3;0;1;0;0;0;1;1;0;0;0;0;0;0;3;3;146800;500;400;0;147700;1;7;1;1;9;3;280000;.;1633;3;1;1;6;11;1;52;130900;1;2;1;3;13;1;52;12400
3;7;3;0;0;0;1;0;1;1;0;0;0;0;0;0;3;3;144023;758;0;0;144781;1;5;1;1;8;3;279000;.;1479;4;1;1;7;11;1;52;97035;1;2;1;6;2;11;52;26497
3;8;4;0;1;0;1;0;1;1;0;0;0;0;0;0;3;4;121958;20782;400;0;143140;1;7;1;1;9;4;394000;.;888;4;2;1;5;11;1;52;67359;1;1;1;5;8;1;52;58501
4;1;4;0;2;0;0;0;1;1;0;0;0;0;0;0;2;2;142000;0;800;0;142800;1;2;1;1;8;4;380000;.;2218;3;1;3;7;2;1;52;72800;1;2;3;7;11;1;52;70000
